log_id,user_name,log_date,steps,calories_burned,active_minutes,distance_km
33,Sofia Ramirez,2025-05-03,4890,1710,32,3.68
34,Sofia Ramirez,2025-05-04,3210,1480,21,2.41
35,Sofia Ramirez,2025-05-05,4520,1670,30,3.40
36,Sofia Ramirez,2025-05-06,3950,1590,26,2.97
37,Sofia Ramirez,2025-05-07,5210,1750,34,3.92
38,Sofia Ramirez,2025-05-08,4380,1640,29,3.29
39,Sofia Ramirez,2025-05-09,3760,1560,25,2.83
40,Sofia Ramirez,2025-05-10,4670,1690,31,3.51
41,Sofia Ramirez,2025-05-11,4180,1630,28,3.14
42,Sofia Ramirez,2025-05-12,3490,1510,23,2.62
43,Sofia Ramirez,2025-05-13,5040,1720,33,3.79
44,Sofia Ramirez,2025-05-14,4310,1650,29,3.24
45,Sofia Ramirez,2025-05-15,3870,1580,26,2.91
46,Daniel Kowalski,2025-05-01,8240,2140,61,6.20
47,Daniel Kowalski,2025-05-02,7890,2080,57,5.93
48,Daniel Kowalski,2025-05-03,9120,2260,68,6.86
49,Daniel Kowalski,2025-05-04,7560,2030,55,5.68
50,Daniel Kowalski,2025-05-05,8670,2190,64,6.52
51,Daniel Kowalski,2025-05-06,9340,2280,70,7.02
52,Daniel Kowalski,2025-05-07,8120,2120,60,6.10
53,Daniel Kowalski,2025-05-08,7780,2060,56,5.85
54,Daniel Kowalski,2025-05-09,8540,2170,63,6.42
55,Daniel Kowalski,2025-05-10,9080,2250,67,6.83
56,Daniel Kowalski,2025-05-11,8390,2150,62,6.30
57,Daniel Kowalski,2025-05-12,7920,2090,58,5.95
58,Daniel Kowalski,2025-05-13,8810,2210,65,6.62
59,Daniel Kowalski,2025-05-14,8260,2140,61,6.21
60,Daniel Kowalski,2025-05-15,8970,2230,66,6.74
61,Priya Patel,2025-05-01,6450,1880,46,4.85
62,Priya Patel,2025-05-02,5980,1810,42,4.50
63,Priya Patel,2025-05-03,7120,1970,52,5.35
64,Priya Patel,2025-05-04,6210,1850,44,4.67
65,Priya Patel,2025-05-05,5670,1770,40,4.26
66,Priya Patel,2025-05-06,6890,1940,49,5.18
67,Priya Patel,2025-05-07,7340,2010,54,5.52
68,Priya Patel,2025-05-08,6120,1840,44,4.60
69,Priya Patel,2025-05-09,5810,1790,41,4.37
70,Priya Patel,2025-05-10,6730,1920,48,5.06
71,Priya Patel,2025-05-11,7080,1960,51,5.32
72,Priya Patel,2025-05-12,6390,1870,46,4.80
73,Priya Patel,2025-05-13,5920,1800,42,4.45
74,Priya Patel,2025-05-14,6580,1900,47,4.95
75,Priya Patel,2025-05-15,7210,1990,53,5.42
76,Liam O'Connor,2025-05-01,10840,2420,78,8.15
77,Liam O'Connor,2025-05-02,11320,2490,82,8.51
78,Liam O'Connor,2025-05-03,9670,2280,69,7.27
79,Liam O'Connor,2025-05-04,12080,2580,89,9.08
80,Liam O'Connor,2025-05-05,10520,2380,76,7.91
81,Liam O'Connor,2025-05-06,11890,2540,86,8.94
82,Liam O'Connor,2025-05-07,9430,2270,67,7.09
83,Liam O'Connor,2025-05-08,10960,2430,80,8.24
84,Liam O'Connor,2025-05-09,11240,2470,82,8.45
85,Liam O'Connor,2025-05-10,9810,2310,71,7.38
86,Liam O'Connor,2025-05-11,10670,2400,77,8.02
87,Liam O'Connor,2025-05-12,11530,2510,84,8.67
88,Liam O'Connor,2025-05-13,10180,2360,74,7.66
89,Liam O'Connor,2025-05-14,11820,2540,86,8.89
90,Liam O'Connor,2025-05-15,10410,2390,75,7.83
91,Hannah Goldberg,2025-05-01,5320,1740,36,4.00
92,Hannah Goldberg,2025-05-02,4810,1670,32,3.62
93,Hannah Goldberg,2025-05-03,5970,1820,40,4.49
94,Hannah Goldberg,2025-05-04,4520,1630,30,3.40
95,Hannah Goldberg,2025-05-05,5680,1780,38,4.27
96,Hannah Goldberg,2025-05-06,5140,1710,34,3.86
97,Hannah Goldberg,2025-05-07,6210,1860,42,4.67
98,Hannah Goldberg,2025-05-08,4960,1690,33,3.73
99,Hannah Goldberg,2025-05-09,5420,1750,36,4.07
100,Hannah Goldberg,2025-05-10,5810,1810,39,4.37
101,Hannah Goldberg,2025-05-11,4670,1660,31,3.51
102,Hannah Goldberg,2025-05-12,5530,1770,37,4.16
103,Hannah Goldberg,2025-05-13,6080,1840,41,4.57
104,Hannah Goldberg,2025-05-14,5260,1730,35,3.95
105,Hannah Goldberg,2025-05-15,5870,1820,39,4.41
106,Takeshi Yamamoto,2025-05-01,9540,2300,71,7.18
107,Takeshi Yamamoto,2025-05-02,10120,2380,75,7.61
108,Takeshi Yamamoto,2025-05-03,8870,2210,66,6.67
109,Takeshi Yamamoto,2025-05-04,9780,2340,73,7.36
110,Takeshi Yamamoto,2025-05-05,10460,2410,78,7.87
111,Takeshi Yamamoto,2025-05-06,9210,2270,69,6.93
112,Takeshi Yamamoto,2025-05-07,10840,2460,81,8.16
113,Takeshi Yamamoto,2025-05-08,9670,2320,72,7.27
114,Takeshi Yamamoto,2025-05-09,9320,2280,70,7.01
115,Takeshi Yamamoto,2025-05-10,10580,2430,79,7.96
116,Takeshi Yamamoto,2025-05-11,9890,2350,74,7.44
117,Takeshi Yamamoto,2025-05-12,9450,2300,71,7.11
118,Takeshi Yamamoto,2025-05-13,10210,2390,76,7.68
119,Takeshi Yamamoto,2025-05-14,9760,2330,73,7.34
120,Takeshi Yamamoto,2025-05-15,10380,2400,77,7.81
121,Emma Lindqvist,2025-05-01,12640,2660,96,9.51
122,Emma Lindqvist,2025-05-02,13180,2740,102,9.91
123,Emma Lindqvist,2025-05-03,11820,2540,86,8.89
124,Emma Lindqvist,2025-05-04,13540,2790,106,10.18
125,Emma Lindqvist,2025-05-05,12390,2630,93,9.32
126,Emma Lindqvist,2025-05-06,14010,2850,112,10.54
127,Emma Lindqvist,2025-05-07,12860,2680,98,9.67
128,Emma Lindqvist,2025-05-08,13320,2750,103,10.02
129,Emma Lindqvist,2025-05-09,11970,2560,88,9.00
130,Emma Lindqvist,2025-05-10,13780,2810,108,10.36
131,Emma Lindqvist,2025-05-11,12510,2640,94,9.41
132,Emma Lindqvist,2025-05-12,13620,2790,107,10.24
133,Emma Lindqvist,2025-05-13,12280,2610,92,9.23
134,Emma Lindqvist,2025-05-14,13890,2820,109,10.45
135,Emma Lindqvist,2025-05-15,12740,2670,97,9.58
136,Raj Singh,2025-05-01,7240,1990,53,5.45
137,Raj Singh,2025-05-02,6810,1930,49,5.12
138,Raj Singh,2025-05-03,7680,2040,57,5.78
139,Raj Singh,2025-05-04,6320,1870,46,4.75
140,Raj Singh,2025-05-05,7530,2020,55,5.66
141,Raj Singh,2025-05-06,6970,1950,51,5.24
142,Raj Singh,2025-05-07,7410,2010,54,5.57
143,Raj Singh,2025-05-08,6580,1910,47,4.95
144,Raj Singh,2025-05-09,7120,1970,52,5.35
145,Raj Singh,2025-05-10,7860,2070,58,5.91
146,Raj Singh,2025-05-11,6730,1930,49,5.06
147,Raj Singh,2025-05-12,7280,1990,53,5.48
148,Raj Singh,2025-05-13,6890,1950,50,5.18
149,Raj Singh,2025-05-14,7570,2030,56,5.69
150,Raj Singh,2025-05-15,7140,1980,52,5.37
